kunta,vuosi,nimi,namn,name,maakunta,nimi_2,namn_2,name_2
"831","2024",Taipalsaari,Taipalsaari,Taipalsaari,"09",Etelä-Karjala,Södra Karelen,South Karelia
"832","2024",Taivalkoski,Taivalkoski,Taivalkoski,"17",Pohjois-Pohjanmaa,Norra Österbotten,North Ostrobothnia
"833","2024",Taivassalo,Tövsala,Taivassalo,"02",Varsinais-Suomi,Egentliga Finland,Southwest Finland
"834","2024",Tammela,Tammela,Tammela,"05",Kanta-Häme,Egentliga Tavastland,Kanta-Häme
"837","2024",Tampere,Tammerfors,Tampere,"06",Pirkanmaa,Birkaland,Pirkanmaa
"844","2024",Tervo,Tervo,Tervo,"11",Pohjois-Savo,Norra Savolax,North Savo
"845","2024",Tervola,Tervola,Tervola,"19",Lappi,Lappland,Lapland
"846","2024",Teuva,Östermark,Teuva,"14",Etelä-Pohjanmaa,Södra Österbotten,South Ostrobothnia
"848","2024",Tohmajärvi,Tohmajärvi,Tohmajärvi,"12",Pohjois-Karjala,Norra Karelen,North Karelia
"849","2024",Toholampi,Toholampi,Toholampi,"16",Keski-Pohjanmaa,Mellersta Österbotten,Central Ostrobothnia
"850","2024",Toivakka,Toivakka,Toivakka,"13",Keski-Suomi,Mellersta Finland,Central Finland
"851","2024",Tornio,Torneå,Tornio,"19",Lappi,Lappland,Lapland
"853","2024",Turku,Åbo,Turku,"02",Varsinais-Suomi,Egentliga Finland,Southwest Finland
"854","2024",Pello,Pello,Pello,"19",Lappi,Lappland,Lapland
"857","2024",Tuusniemi,Tuusniemi,Tuusniemi,"11",Pohjois-Savo,Norra Savolax,North Savo
"858","2024",Tuusula,Tusby,Tuusula,"01",Uusimaa,Nyland,Uusimaa
"859","2024",Tyrnävä,Tyrnävä,Tyrnävä,"17",Pohjois-Pohjanmaa,Norra Österbotten,North Ostrobothnia
"886","2024",Ulvila,Ulvsby,Ulvila,"04",Satakunta,Satakunta,Satakunta
"887","2024",Urjala,Urjala,Urjala,"06",Pirkanmaa,Birkaland,Pirkanmaa
"889","2024",Utajärvi,Utajärvi,Utajärvi,"17",Pohjois-Pohjanmaa,Norra Österbotten,North Ostrobothnia
"890","2024",Utsjoki,Utsjoki,Utsjoki,"19",Lappi,Lappland,Lapland
"892","2024",Uurainen,Uurainen,Uurainen,"13",Keski-Suomi,Mellersta Finland,Central Finland
"893","2024",Uusikaarlepyy,Nykarleby,Nykarleby,"15",Pohjanmaa,Österbotten,Ostrobothnia
"895","2024",Uusikaupunki,Nystad,Uusikaupunki,"02",Varsinais-Suomi,Egentliga Finland,Southwest Finland
"905","2024",Vaasa,Vasa,Vaasa,"15",Pohjanmaa,Österbotten,Ostrobothnia
"908","2024",Valkeakoski,Valkeakoski,Valkeakoski,"06",Pirkanmaa,Birkaland,Pirkanmaa
"915","2024",Varkaus,Varkaus,Varkaus,"11",Pohjois-Savo,Norra Savolax,North Savo
"918","2024",Vehmaa,Vemo,Vehmaa,"02",Varsinais-Suomi,Egentliga Finland,Southwest Finland
"921","2024",Vesanto,Vesanto,Vesanto,"11",Pohjois-Savo,Norra Savolax,North Savo
"922","2024",Vesilahti,Vesilahti,Vesilahti,"06",Pirkanmaa,Birkaland,Pirkanmaa
"924","2024",Veteli,Vetil,Veteli,"16",Keski-Pohjanmaa,Mellersta Österbotten,Central Ostrobothnia
"925","2024",Vieremä,Vieremä,Vieremä,"11",Pohjois-Savo,Norra Savolax,North Savo
"927","2024",Vihti,Vichtis,Vihti,"01",Uusimaa,Nyland,Uusimaa
"931","2024",Viitasaari,Viitasaari,Viitasaari,"13",Keski-Suomi,Mellersta Finland,Central Finland
"934","2024",Vimpeli,Vindala,Vimpeli,"14",Etelä-Pohjanmaa,Södra Österbotten,South Ostrobothnia
"935","2024",Virolahti,Vederlax,Virolahti,"08",Kymenlaakso,Kymmenedalen,Kymenlaakso
"936","2024",Virrat,Virdois,Virrat,"06",Pirkanmaa,Birkaland,Pirkanmaa
"941","2024",Vårdö,Vårdö,Vårdö,"21",Ahvenanmaa,Åland,Åland
"946","2024",Vöyri,Vörå,Vörå,"15",Pohjanmaa,Österbotten,Ostrobothnia
"976","2024",Ylitornio,Övertorneå,Ylitornio,"19",Lappi,Lappland,Lapland
"977","2024",Ylivieska,Ylivieska,Ylivieska,"17",Pohjois-Pohjanmaa,Norra Österbotten,North Ostrobothnia
"980","2024",Ylöjärvi,Ylöjärvi,Ylöjärvi,"06",Pirkanmaa,Birkaland,Pirkanmaa
"981","2024",Ypäjä,Ypäjä,Ypäjä,"05",Kanta-Häme,Egentliga Tavastland,Kanta-Häme
"989","2024",Ähtäri,Etseri,Ähtäri,"14",Etelä-Pohjanmaa,Södra Österbotten,South Ostrobothnia
"992","2024",Äänekoski,Äänekoski,Äänekoski,"13",Keski-Suomi,Mellersta Finland,Central Finland
