"Vuosineljännes","Postinumero","Huoneluku","Lukumäärä","muutos","postialue_id"
"2024Q2","90140 Karjasilta   (Oulu )","Yksiöt",131,16.57,"90140"
"2024Q2","40740 Kortepohja   (Jyväskylä )","Yksiöt",127,16.44,"40740"
"2024Q2","87100 Kajaani Keskus   (Kajaani )","Yksiöt",281,16.38,"87100"
"2024Q2","04600 Mäntsälä Keskus   (Mäntsälä )","Yksiöt",53,16.37,"04600"
"2024Q2","05200 Rajamäki   (Nurmijärvi )","Yksiöt",26,16.35,"05200"
"2024Q2","15150 Möysä   (Lahti )","Yksiöt",128,16.33,"15150"
"2024Q2","37500 Lempäälä Keskus   (Lempäälä )","Yksiöt",60,16.32,"37500"
"2024Q2","50120 Siekkilä   (Mikkeli )","Yksiöt",33,16.22,"50120"
"2024Q2","40250 Ritoniemi-Lohikoski   (Jyväskylä )","Yksiöt",49,16.2,"40250"
"2024Q2","13600 Ojoinen   (Hämeenlinna )","Yksiöt",56,16.16,"13600"
"2024Q2","80230 Hukanhauta   (Joensuu )","Yksiöt",25,16.12,"80230"
"2024Q2","65200 Palosaari   (Vaasa )","Yksiöt",183,16.11,"65200"
"2024Q2","48100 Kotkansaari   (Kotka )","Yksiöt",322,16.1,"48100"
"2024Q2","11100 Riihimäki Keskus   (Riihimäki )","Yksiöt",198,16.09,"11100"
"2024Q2","20760 Piispanristi   (Kaarina )","Yksiöt",47,16.07,"20760"
"2024Q2","21200 Raisio Keskus   (Raisio )","Yksiöt",160,16.07,"21200"
"2024Q2","28130 Impola   (Pori )","Yksiöt",279,16.06,"28130"
"2024Q2","90650 Haapalehto   (Oulu )","Yksiöt",74,16.06,"90650"
"2024Q2","03400 Vihti Kirkonkylä   (Vihti )","Yksiöt",26,15.96,"03400"
"2024Q2","37100 Nokia Keskus   (Nokia )","Yksiöt",131,15.91,"37100"
"2024Q2","60200 Törnävä   (Seinäjoki )","Yksiöt",124,15.91,"60200"
"2024Q2","33470 Ylöjärvi Keskus   (Ylöjärvi )","Yksiöt",38,15.9,"33470"
"2024Q2","60100 Seinäjoki Keskus   (Seinäjoki )","Yksiöt",324,15.89,"60100"
"2024Q2","05880 Paavola-Vaivero   (Hyvinkää )","Yksiöt",36,15.88,"05880"
